# ----------------------------------------
# All Web Site Data
# Site Speed Page Timings
# 20230510-20230516
# ----------------------------------------

Page,Avg. Page Load Time (sec),Pageviews,Bounce Rate,% Exit,Page Value
/secure/ManageRapidViews.jspa,3.31,244,10.00%,8.61%,$0.00
/secure/project/IndexProjectProgress.jspa?taskId=942625&pid=107402&Refresh=Refresh&atl_token=BZLY-APRW-O7LK-3ZI0_20b95f7e721f6e7205aa350415c077ea859ca878_lin,0.00,244,0.00%,0.00%,$0.00
/secure/BrowseProjects.jspa?selectedCategory=all&selectedProjectType=all,1.60,219,16.67%,10.05%,$0.00
/secure/ManageStructure.jspa,1.32,217,8.33%,1.84%,$0.00
/secure/MoveIssue.jspa,0.00,210,0.00%,0.95%,$0.00
/secure/views/bulkedit/BulkOperationProgress.jspa?taskId=942447,0.00,203,0.00%,0.00%,$0.00
/secure/Dashboard.jspa?selectPageId=39808,0.00,198,0.00%,16.67%,$0.00
/secure/views/bulkedit/BulkOperationProgress.jspa?taskId=942896,0.00,191,0.00%,0.00%,$0.00
/secure/project/IndexProjectProgress.jspa?taskId=941527&pid=108003&Refresh=Refresh&atl_token=BZLY-APRW-O7LK-3ZI0_5f7a2e34d70528bf1f458bb42ae7fa7b3854b64a_lin,0.00,181,0.00%,0.55%,$0.00
/secure/views/bulkedit/BulkEditDetails.jspa,4.67,178,0.00%,0.00%,$0.00
/secure/Dashboard.jspa?selectPageId=125410,0.00,177,5.88%,18.08%,$0.00
/secure/ManageFilters.jspa?filterView=my,0.70,176,0.00%,1.70%,$0.00
/issues/?filter=-3,8.43,175,23.08%,18.86%,$0.00
/secure/Dashboard.jspa?selectPageId=151216,0.00,174,27.78%,14.94%,$0.00
/browse/HYBRIDE2E-628,0.00,161,51.85%,39.13%,$0.00
/secure/Dashboard.jspa?selectPageId=72911,0.00,160,10.53%,6.25%,$0.00
/secure/views/bulkedit/BulkEditDetailsValidation.jspa,2.01,159,0.00%,0.00%,$0.00
/projects/AIRCPR/queues/custom/3024,0.00,151,35.00%,23.18%,$0.00
/secure/views/bulkedit/BulkWorkflowTransitionEditValidation.jspa,0.00,148,0.00%,0.00%,$0.00
/secure/views/bulkedit/BulkWorkflowTransitionDetails.jspa,0.00,147,0.00%,1.36%,$0.00
/secure/views/bulkedit/BulkWorkflowTransitionDetailsValidation.jspa,0.00,143,0.00%,0.00%,$0.00
/browse/ISP-52686,1.11,141,30.91%,31.91%,$0.00
/secure/RapidBoard.jspa?rapidView=13208,0.00,140,17.02%,13.57%,$0.00
/secure/Dashboard.jspa?selectPageId=118333,0.00,137,4.35%,5.84%,$0.00
/secure/Dashboard.jspa?selectPageId=117005,0.00,133,14.29%,14.29%,$0.00
/secure/ConfigurePortalPages.jspa?view=favourites,1.46,129,14.29%,3.88%,$0.00
/secure/StructureBoard.jspa?s=6463,0.00,123,32.43%,35.77%,$0.00
/browse/EIP-2290,0.00,122,47.37%,29.51%,$0.00
/plugins/servlet/fiftyfivedegrees/actionableagile/main,0.00,119,44.44%,24.37%,$0.00
/secure/ManageRapidViews.jspa?null=,4.65,119,3.81%,5.88%,$0.00
/browse/ONEKEYTEST-1228,0.00,118,56.25%,50.00%,$0.00
/secure/Dashboard.jspa?selectPageId=127608,0.00,116,4.35%,7.76%,$0.00
/browse/ISP-44793,0.00,115,37.50%,30.43%,$0.00
/browse/MDPL-1651,0.00,115,20.00%,20.00%,$0.00
/secure/Dashboard.jspa?selectPageId=142907,0.00,113,4.17%,9.73%,$0.00
/browse/MESOG-34436,6.63,111,45.83%,21.62%,$0.00
/secure/ManageFilters.jspa?filterView=search,1.81,111,0.00%,4.50%,$0.00
/browse/EIP-2285,0.00,109,38.71%,29.36%,$0.00
/secure/views/bulkedit/BulkMigrateSetFields.jspa,0.00,107,0.00%,0.00%,$0.00
/browse/ONEKEYTEST-1225,0.00,106,63.64%,35.85%,$0.00
/secure/BulkChooseOperation!default.jspa,1.24,105,0.00%,2.86%,$0.00
/secure/Dashboard.jspa?selectPageId=151900,0.00,105,0.00%,4.76%,$0.00
/browse/ONEKEYTEST-1079,0.00,104,36.36%,21.15%,$0.00
/browse/PROCOM-6128,0.00,103,34.78%,27.18%,$0.00
/browse/OFFERS-6925,0.00,102,33.33%,23.53%,$0.00
/secure/RapidBoard.jspa?projectKey=CKOE&rapidView=16970,0.00,101,47.83%,34.65%,$0.00
/browse/PROCOM-5890,0.00,99,30.43%,19.19%,$0.00
/browse/PROCOM-6039,0.00,99,53.85%,39.39%,$0.00
/secure/views/bulkedit/BulkMigrateSetFields!default.jspa,0.00,98,0.00%,0.00%,$0.00
/plugins/servlet/sso-logout,2.72,94,60.87%,36.17%,$0.00
/browse/PROCOM-6122,0.00,93,50.00%,21.51%,$0.00
/browse/REO-5073,4.42,93,50.00%,40.86%,$0.00
/secure/Dashboard.jspa?selectPageId=119708,0.00,93,13.33%,26.88%,$0.00
/projects/BMLSD/queues/custom/4772,0.00,92,4.55%,8.70%,$0.00
/secure/Dashboard.jspa?selectPageId=66111,0.00,91,38.46%,7.69%,$0.00
/browse/MESOG-33986,6.42,90,66.67%,36.67%,$0.00
/browse/PAY-195436,4.70,90,47.62%,32.22%,$0.00
/browse/PROCOM-6181,0.00,90,46.67%,33.33%,$0.00
/secure/Dashboard.jspa?selectPageId=146301,0.00,90,4.00%,10.00%,$0.00
/browse/AIRSUP-33808,0.00,86,50.00%,29.07%,$0.00
/browse/EIP-2294,0.00,86,31.58%,23.26%,$0.00
/secure/Dashboard.jspa?selectPageId=57100,0.00,86,18.18%,12.79%,$0.00
/browse/HYBRIDE2E-639,0.00,85,33.33%,27.06%,$0.00
/browse/EIP-2280,0.00,84,44.44%,17.86%,$0.00
/secure/RapidBoard.jspa?projectKey=UNICA&rapidView=19794,0.00,84,23.08%,28.57%,$0.00
/browse/MDEMETA-1714,0.00,83,60.00%,49.40%,$0.00
/browse/ONEKEYTEST-1180,0.00,83,51.72%,37.35%,$0.00
/secure/RapidBoard.jspa,8.23,83,51.22%,30.12%,$0.00
/browse/ABS-634,0.00,82,7.14%,13.41%,$0.00
/browse/ISP-53384,1.04,82,37.04%,29.27%,$0.00
/browse/MESOG-34469,11.93,82,14.29%,13.41%,$0.00
/browse/USC-277,0.00,82,9.09%,4.88%,$0.00
/projects/ET/queues/custom/4296,0.00,82,27.27%,23.17%,$0.00
/secure/Dashboard.jspa?selectPageId=146802,0.00,82,10.00%,8.54%,$0.00
/secure/StructureBoard.jspa?s=6083,0.00,82,31.58%,24.39%,$0.00
/browse/MESOG-34310,0.00,81,40.00%,29.63%,$0.00
/secure/RapidBoard.jspa?projectKey=SEOOPSTRAN&rapidView=21128,0.00,81,31.25%,16.05%,$0.00
/browse/ONEKEYTEST-1246,12.06,80,75.56%,57.50%,$0.00
/secure/views/bulkedit/BulkOperationProgress.jspa?taskId=942004,0.00,80,0.00%,0.00%,$0.00
/browse/SPCA-298,0.00,79,50.00%,49.37%,$0.00
/projects/MSES/queues/custom/9204,0.00,79,42.31%,26.58%,$0.00
/projects/TPGWFP/queues/custom/6209,0.00,79,39.39%,34.18%,$0.00
/secure/ConvertIssueSetIssueType.jspa,0.00,79,0.00%,0.00%,$0.00
/secure/Dashboard.jspa?selectPageId=102431,0.00,79,5.00%,10.13%,$0.00
/secure/Dashboard.jspa?selectPageId=128012,0.00,79,8.33%,12.66%,$0.00
/secure/RapidBoard.jspa?rapidView=21213&projectKey=E4BSLSEN&view=planning&issueLimit=100,0.00,79,10.00%,11.39%,$0.00
/secure/views/bulkedit/BulkOperationProgress.jspa?taskId=943732,0.00,79,0.00%,0.00%,$0.00
/browse/OFT-397,0.00,78,56.41%,46.15%,$0.00
/browse/TPS-1707,6.28,78,44.00%,29.49%,$0.00
/secure/Dashboard.jspa?selectPageId=104604,0.00,78,4.76%,8.97%,$0.00
/browse/EIP-2284,0.00,77,25.00%,16.88%,$0.00
/browse/LORD-2493,6.04,77,56.25%,49.35%,$0.00
/secure/admin/ViewCustomFields.jspa,0.00,77,0.00%,1.30%,$0.00
/secure/Dashboard.jspa?selectPageId=102242,0.00,77,15.38%,14.29%,$0.00
/secure/views/bulkedit/BulkOperationProgress.jspa?taskId=943732&errorActionOutput=&Refresh=Refresh&atl_token=BZLY-APRW-O7LK-3ZI0_a7e170cae274d4712c5aa357f73c2d6fcdcd41fa_lin,0.00,77,0.00%,0.00%,$0.00
/browse/ONEKEYTEST-1237,0.00,76,45.45%,28.95%,$0.00
/secure/views/bulkedit/BulkOperationProgress.jspa?taskId=940952,0.00,76,0.00%,0.00%,$0.00
/browse/DEVBOX-168055,0.00,75,76.67%,46.67%,$0.00
/secure/Dashboard.jspa?selectPageId=133206,0.00,75,28.00%,22.67%,$0.00
/browse/AIRCPR-12648,0.00,73,55.26%,42.47%,$0.00
/browse/MESOG-34434,47.25,73,20.00%,13.70%,$0.00
/browse/WAVESUP-4028,0.00,73,22.22%,26.03%,$0.00
/secure/ConvertIssueUpdateFields.jspa,0.00,73,0.00%,0.00%,$0.00
/secure/Dashboard.jspa?selectPageId=69513,0.00,73,26.67%,20.55%,$0.00
/browse/HYBRIDE2E-629,0.00,72,38.46%,36.11%,$0.00
/browse/LODGING-171,0.00,72,41.94%,43.06%,$0.00
/browse/ONEKEYTEST-1269,0.00,72,47.37%,27.78%,$0.00
/projects/AIRCPR/queues,0.00,72,33.33%,20.83%,$0.00
/secure/BrowseProjects.jspa?selectedCategory=all,2.37,72,34.09%,23.61%,$0.00
/browse/SEN-799,3.68,71,65.79%,50.70%,$0.00
/secure/ConvertSubTaskSetIssueType.jspa,1.78,71,0.00%,0.00%,$0.00
/browse/AIRSUP-33617,2.82,70,50.00%,44.29%,$0.00
/browse/ISP-50164,1.19,70,53.85%,35.71%,$0.00
/browse/STREAMP-8649,0.00,70,18.18%,11.43%,$0.00
/projects/BMLSD/queues/custom/4279,0.00,70,9.09%,10.00%,$0.00
/secure/RapidBoard.jspa?rapidView=10149&projectKey=EGDRE,0.00,70,34.62%,25.71%,$0.00
/secure/views/bulkedit/BulkOperationProgress.jspa?taskId=943102,0.00,70,0.00%,0.00%,$0.00
/secure/StructureBulkChange.jspa,1.79,69,0.00%,0.00%,$0.00
/browse/CREAD-1226,0.00,68,50.00%,38.24%,$0.00
/browse/EGDL-4113,0.00,68,71.43%,55.88%,$0.00
/browse/PROCOM-6126,0.00,68,6.67%,10.29%,$0.00
/secure/ConvertSubTaskUpdateFields.jspa,2.44,68,0.00%,0.00%,$0.00
/browse/ACMG-116,0.00,67,73.08%,47.76%,$0.00
/browse/EIP-2286,0.00,67,60.87%,31.34%,$0.00
/browse/MESOG-34388,0.00,67,28.57%,10.45%,$0.00
/browse/ONEKEYTEST-1140,0.00,67,60.71%,46.27%,$0.00
/jira/secure/Dashboard.jspa?selectPageId=39808,0.00,67,11.11%,11.94%,$0.00
/secure/Dashboard.jspa?selectPageId=66618,0.00,67,23.08%,20.90%,$0.00
/secure/Dashboard.jspa?selectPageId=93812,0.00,67,7.14%,13.43%,$0.00
/secure/RapidBoard.jspa?rapidView=16869,34.68,67,13.33%,11.94%,$0.00
/browse/LODGING-216,0.00,66,50.00%,34.85%,$0.00
/browse/MESOG-34367,2.20,66,33.33%,21.21%,$0.00
/browse/OBM-31421,9.31,66,36.84%,25.76%,$0.00
/browse/PRB-2781,0.00,66,60.00%,50.00%,$0.00
/browse/SEARCHEXP-588,0.00,66,37.50%,31.82%,$0.00
/projects/ET/queues,0.00,66,30.77%,27.27%,$0.00
/secure/Dashboard.jspa?selectPageId=131909,0.00,66,25.00%,16.67%,$0.00
/secure/RapidBoard.jspa?rapidView=18537,0.00,66,9.09%,7.58%,$0.00
/secure/views/bulkedit/BulkOperationProgress.jspa?taskId=942449,0.00,65,0.00%,0.00%,$0.00
/browse/COREXD-5174,0.00,64,30.00%,18.75%,$0.00
/browse/COREXD-5286,9.20,64,42.86%,21.88%,$0.00
/browse/ISP-47320,0.00,64,42.31%,35.94%,$0.00
/browse/ISP-47991,1.87,64,53.57%,46.88%,$0.00
/browse/MESOG-34484,0.00,64,11.11%,18.75%,$0.00
/browse/OBM-31422,2.26,64,21.05%,26.56%,$0.00
/secure/Dashboard.jspa?selectPageId=138503,0.00,64,5.26%,12.50%,$0.00
/secure/Dashboard.jspa?selectPageId=151545,0.00,64,12.50%,1.56%,$0.00
/secure/Dashboard.jspa?selectPageId=152809,0.00,64,0.00%,9.38%,$0.00
/secure/RapidBoard.jspa?rapidView=10927&projectKey=MSD&view=planning&issueLimit=100,0.00,64,0.00%,1.56%,$0.00
/secure/views/bulkedit/BulkOperationProgress.jspa?taskId=941897,0.00,64,0.00%,0.00%,$0.00
/browse/HYBRIDE2E-633,0.00,63,42.86%,26.98%,$0.00
/browse/MESOG-34485,0.00,63,20.00%,19.05%,$0.00
/browse/OCCSUP-3591,0.00,63,68.89%,69.84%,$0.00
/browse/PRB-2787,20.26,63,57.50%,53.97%,$0.00
/browse/TPS-1721,6.41,63,22.22%,25.40%,$0.00
/projects?selectedCategory=all&selectedProjectType=all&contains=,0.00,63,37.50%,12.70%,$0.00
/secure/CreateIssueDetails.jspa,0.00,63,0.00%,1.59%,$0.00
/secure/StructureBoard.jspa?s=8411,0.00,63,25.00%,19.05%,$0.00
/browse/HYBRIDE2E-642,0.00,62,27.78%,20.97%,$0.00
/browse/WAVESUP-3653,0.00,62,23.53%,24.19%,$0.00
/projects/ET/queues/custom/3466,0.00,62,27.78%,30.65%,$0.00
/secure/Dashboard.jspa?selectPageId=150800,0.00,62,27.27%,12.90%,$0.00
/secure/RapidBoard.jspa?projectKey=PR&rapidView=16107,0.00,62,8.33%,6.45%,$0.00
/browse/EGDG-3041,0.00,61,33.33%,18.03%,$0.00
/browse/ISP-43552,3.67,61,44.44%,34.43%,$0.00
/browse/LPAS-6513,0.00,61,54.84%,45.90%,$0.00
/browse/MESOG-34447,0.00,61,27.27%,24.59%,$0.00
/browse/ONEKEYPROG-283,6.87,61,52.17%,42.62%,$0.00
/browse/WAVESUP-4010,0.00,61,66.67%,47.54%,$0.00
/browse/WAVESUP-4034,0.00,61,11.11%,16.39%,$0.00
/projects/DILEMMA/queues/custom/3900,6.65,61,46.94%,47.54%,$0.00
/projects/MSD/summary,0.00,61,0.00%,0.00%,$0.00
/secure/Dashboard.jspa?selectPageId=101700,0.00,61,0.00%,16.39%,$0.00
/secure/Dashboard.jspa?selectPageId=132507,0.00,61,25.00%,11.48%,$0.00
/secure/PortfolioPlanView.jspa?id=7448&sid=7271&vid=13509,0.00,61,16.67%,9.84%,$0.00
/secure/RapidBoard.jspa?projectKey=E4BSLSEN&rapidView=21213,0.00,61,12.50%,8.20%,$0.00
/secure/RapidBoard.jspa?rapidView=19091,0.00,61,39.47%,37.70%,$0.00
/secure/RapidBoard.jspa?rapidView=22897&projectKey=ACMG,0.00,61,28.57%,22.95%,$0.00
/browse/ACMG-172,0.00,60,52.63%,30.00%,$0.00
/browse/APK-3204,0.00,60,55.56%,38.33%,$0.00
/browse/CSHD-22075,0.00,60,60.00%,40.00%,$0.00
/browse/DSE-7403,0.00,60,43.33%,35.00%,$0.00
/browse/ONEKEYTEST-1233,0.00,60,55.56%,31.67%,$0.00
/issue/CloneIssueProgress.jspa?taskId=944732,0.00,60,0.00%,0.00%,$0.00
/secure/StructureBoard.jspa,0.00,60,20.00%,15.00%,$0.00
/browse/FSIT-122679,0.00,59,30.00%,13.56%,$0.00
/browse/HYBRIDE2E-663,0.00,58,16.67%,10.34%,$0.00
/browse/ONEKEYTEST-1234,0.00,58,56.25%,25.86%,$0.00
/browse/WAVESUP-3588,0.00,58,18.18%,25.86%,$0.00
/secure/RapidBoard.jspa?projectKey=EGD&rapidView=11623,0.00,58,20.00%,20.69%,$0.00
/secure/RapidBoard.jspa?rapidView=15865&view=detail&selectedIssue=NLP-4092&quickFilter=155217,0.00,58,33.33%,6.90%,$0.00
/secure/RapidBoard.jspa?rapidView=21733&projectKey=VRBOSHOP&view=planning.nodetail&issueLimit=100,0.00,58,4.76%,10.34%,$0.00
/secure/RapidView.jspa?rapidView=23111,0.00,58,0.00%,0.00%,$0.00
/browse/CLAPIST-13126,0.00,57,41.67%,40.35%,$0.00
/browse/CREAD-1596,0.00,57,38.46%,33.33%,$0.00
/browse/EIP-2281,0.00,57,14.29%,26.32%,$0.00
/browse/HYBRIDE2E-666,0.00,57,31.25%,29.82%,$0.00
/browse/ISP-52793,0.00,57,11.11%,12.28%,$0.00
/browse/LPAS-6399,0.00,57,52.63%,31.58%,$0.00
/browse/MESOG-34353,0.00,57,30.00%,29.82%,$0.00
/browse/ECMP-2268,0.00,56,64.71%,58.93%,$0.00
/browse/EIP-2279,0.00,56,12.50%,12.50%,$0.00
/browse/ORASUP-235137,0.00,56,37.50%,32.14%,$0.00
/browse/PRB-2776,6.51,56,55.17%,41.07%,$0.00
/browse/WPROG9-571,0.00,56,29.41%,25.00%,$0.00
/secure/Dashboard.jspa?selectPageId=152605,0.00,56,0.00%,5.36%,$0.00
/secure/RapidBoard.jspa?rapidView=18179&quickFilter=149789,0.00,56,15.00%,21.43%,$0.00
/secure/RapidBoard.jspa?rapidView=21045,0.00,56,15.79%,12.50%,$0.00
/secure/RapidBoard.jspa?rapidView=8635&projectKey=EUAS&view=planning&issueLimit=100,0.00,56,33.33%,14.29%,$0.00
/secure/StructureBoard.jspa?s=8088,21.18,56,35.71%,23.21%,$0.00
/browse/ACMG-173,0.00,55,33.33%,20.00%,$0.00
/browse/AHUB-6197,0.00,55,38.89%,23.64%,$0.00
/browse/CEEO-480,4.36,55,28.00%,34.55%,$0.00
/browse/CSHD-22126,0.00,55,69.57%,54.55%,$0.00
/browse/NETWORKOPS-3239,0.00,55,23.53%,27.27%,$0.00
/browse/PROCOM-6081,0.00,55,46.67%,32.73%,$0.00
/plugins/servlet/cluster-monitoring,0.00,55,0.00%,9.09%,$0.00
/plugins/servlet/sso-logout?sd-logout=true,1.76,55,22.22%,23.64%,$0.00
/projects/DEVSUP/queues/issue/DEVSUP-9591,0.00,55,43.48%,49.09%,$0.00
/secure/Dashboard.jspa?selectPageId=117402,0.00,55,13.04%,12.73%,$0.00
/secure/RapidBoard.jspa?rapidView=17605,0.00,55,50.00%,16.36%,$0.00
/browse/AIRBENDERS-939,0.00,54,33.33%,20.37%,$0.00
/browse/COREXD-5190,0.00,54,53.33%,33.33%,$0.00
/browse/HYBRIDE2E-437,0.00,54,65.00%,40.74%,$0.00
/browse/HYBRIDE2E-647,0.00,54,44.00%,38.89%,$0.00
/browse/PROCOM-6169,0.00,54,38.89%,25.93%,$0.00
/secure/Dashboard.jspa?selectPageId=148301,0.00,54,11.11%,12.96%,$0.00
/secure/RapidBoard.jspa?rapidView=21345&projectKey=PTLX,0.00,54,39.29%,35.19%,$0.00
/browse/AIRSUP-33707,0.00,53,41.67%,30.19%,$0.00
,5.01,"475,444",41.44%,24.75%,$0.00

Day Index,Avg. Page Load Time (sec)
5/10/23,4.77
5/11/23,4.11
5/12/23,4.80
5/13/23,5.83
5/14/23,6.18
5/15/23,4.64
5/16/23,6.13
,5.01
